ride_id,rideable_type,weekdays,duration,start_station_name,end_station_name,member_casual
70512560168538E9,electric_bike,Monday,8.448099998633067,Franklin Ave & Myrtle Ave,Lawrence St & Willoughby St,member
2C19A04B9B5A5DAA,electric_bike,Saturday,9.994849999745687,Bayard St & Leonard St,Lorimer St & Broadway,member
3EC85947004FBBD5,electric_bike,Wednesday,10.182366665204366,University Pl & E 8 St,Broadway & W 25 St,member
4A5BEB8EAFBA86F6,electric_bike,Tuesday,4.700666666030884,55 Ave & Center Blvd,Vernon Blvd & 50 Ave,member
82C22710687AF35D,classic_bike,Monday,14.69693333307902,Broadway & W 29 St,E 13 St & 2 Ave,casual
BA36BFAA08CEC113,electric_bike,Thursday,6.950533334414164,E 1 St & Bowery,E 10 St & Ave A,member
3D8A5D6B51E4179C,classic_bike,Thursday,8.783499999841053,E 98 St & Park Ave,1 Ave & E 94 St,member
05FBF676E5AB0693,classic_bike,Wednesday,13.00318333307902,Greenwich St & Perry St,West St & Liberty St,casual
740EBCDDBA34788B,electric_bike,Monday,13.413550003369648,Driggs Ave & N 9 St,Dock 72 Way & Market St,member
7B05FCD1212EDE00,electric_bike,Friday,28.73308333555857,Jefferson Ave & Patchen Ave,Tilden Ave & Nostrand Ave,casual
4BFB2DBFDC23A31D,classic_bike,Tuesday,16.09558333158493,Bayard St & Baxter St,E 22 St & 2 Ave,member
F0BC92D88EDD0CBA,electric_bike,Friday,59.11748332977295,W 140 St & Riverside Dr,W 10 St & Washington St,member
B2837AC527BA7481,classic_bike,Sunday,3.9652166684468586,35 St & 34 Ave,Steinway St & Broadway,member
45A31741872EE8A3,electric_bike,Tuesday,8.763999998569489,Astoria Park S & Shore Blvd,21 St & 31 Dr,member
61D006826BD4B2A6,electric_bike,Friday,12.89383333126704,Kent Ave & Grand St,Allen St & Rivington St,member
214A713A58EF5FED,electric_bike,Tuesday,13.211849999427795,E 47 St & 1 Ave,E 74 St & 1 Ave,member
5BCBD6ADFDE750DB,electric_bike,Thursday,15.936733333269755,Rugby Rd & Albemarle Rd,Plaza St East & Flatbush Ave,member
6EF5EA626A121601,electric_bike,Tuesday,12.160449997584026,Herkimer St & New York Ave,Herkimer St & New York Ave,member
A5B421D6BDCE4522,classic_bike,Wednesday,7.0984833359718325,DeKalb Ave & Hudson Ave,Washington Park,member
3957EC0AD7187329,classic_bike,Wednesday,4.463999998569489,Grand St & Havemeyer St,Union Ave & N 12 St,member
B77E14DCA1BAAAD5,electric_bike,Sunday,22.624583331743874,Bleecker St & Crosby St,Broadway & W 58 St,member
90B081AE44161048,electric_bike,Friday,7.154700001080831,Cleveland Pl & Spring St,Bank St & Washington St,member
0B0C2720586AAD7D,electric_bike,Monday,16.52175000111262,Scholes St & Manhattan Ave,Pacific St & Smith St,member
A8B8EF60D03F455E,electric_bike,Monday,7.941399999459585,West End Ave & W 107 St,W 84 St & Columbus Ave,member
E6EFAD583BC6B297,classic_bike,Friday,3.1390999992688497,Mott St & Prince St,Grand St & Elizabeth St,member
9CCE3518477D147F,electric_bike,Friday,11.256199999650319,Prospect Park SW & 10 Ave,Lincoln Pl & Nostrand Ave,member
56CA82965ECBD781,electric_bike,Saturday,6.13431666692098,E 5 St & Ave A,E 2 St & Ave C,member
CAEB84B55DCEF0FD,electric_bike,Saturday,5.603616666793823,5 Ave & E 87 St,E 85 St & York Ave,member
7CE5E6135443E42E,classic_bike,Tuesday,19.651783335208894,10 St & 5 Ave,7 Ave & Park Pl,member
